variable,value,count
candidate,"ANGELA """"ANGIE"""" L. BANKS",32
candidate,ANGELA KAREN WOODY,7
candidate,ANGELIA NICOLE ALLEN,33
candidate,ANGIE T. DAVIS,576
candidate,ANITA G WEST,10
candidate,ANN BISHOP,51
candidate,ANN FINLEY COLLINS - NO,3668
candidate,ANN FINLEY COLLINS - YES,3668
candidate,ANN TOOMBS NEWCOMB,3
candidate,ANNA DREW,1
candidate,ANNA HANSEN,12
candidate,ANNA LOFTUS,260
candidate,ANNA MARTINEZ,36
candidate,ANNA TRICIA HAMILTON,22
candidate,ANNE NOBILE,17
candidate,ANNETTE SMITH,3
candidate,ANTHONY BLEVINS,38
candidate,ANTHONY DEWAYNE WILEY,1
candidate,ANTHONY J MORA,6
candidate,ANTONIO L MAGGIORE,17
candidate,ANTONIO RAY MARTINEZ,6
candidate,"APALLA, Juno-Ann A.",48
candidate,"APOLIONA, Haunani",741
candidate,APPROVED,79
candidate,"AR CO Assessor, Regina Mannis, Rep",120
candidate,"AR CO Clerk, Melissa Wood, Democra",120
candidate,"AR CO Judge, Thomas E. Best, Democ",120
candidate,"AR CO Sheriff/Collector, Todd Wrig",120
candidate,"AR CO Treasurer, Charles A. Horton",120
candidate,"ARIN, Lisa R.",48
candidate,ARNETTE R. HUBBARD - NO,3668
candidate,ARNETTE R. HUBBARD - YES,3668
candidate,ARNOLD ISENBERG,42
candidate,"ARNOLD, BRAD",3
candidate,ASHLEY WRIGHT,536
candidate,ASSESSOR,276
candidate,"ASSESSOR KAREN HARDESTY - REP,",92
candidate,"ATAY, Alika",102
candidate,ATIBA HAKEEM MUSE,3
candidate,AUBREY WALKER BOGERT,3
candidate,AUDREY HARDING PAYNE,3
candidate,AUDREY ROSE CLEMENT,54
candidate,"AUSTIN, ROSEMARIE ROSIE",1
candidate,AVERY JOANNE H.,4
candidate,"AYALA, MIKE",41
candidate,Aaron Baer,1
candidate,Aaron C. Guckian,10
candidate,Aaron C. Smith,19
candidate,Aaron Chastain,35
candidate,Aaron D. Goldhamer,242
candidate,Aaron Donald Buchanan Jr.,3
candidate,Aaron Fleeman,13
candidate,Aaron HARDY,1
candidate,Aaron Harris,30
candidate,Aaron J Schumacher,92
candidate,Aaron J. Berlin,420
candidate,Aaron John Ley,18
candidate,Aaron Kester,223
candidate,Aaron L. Brewer,15
candidate,Aaron L. Brown,11
candidate,Aaron M. MOORE,6
candidate,Aaron Madison,45
candidate,Aaron P. Davis,124
candidate,Aaron Polkey,3
candidate,Aaron Prunty,2
candidate,Aaron Riggin,5
candidate,Aaron Uthoff,5
candidate,Aaron Viebrock,47
candidate,Aaron W. Dupuis,8
candidate,Aaron WALKER,86
candidate,Aaron WATSON,13
candidate,Abbigail NATION,2
candidate,"Abbott, Donald",72
candidate,Abdi Muse,15
candidate,Abel G. Collins,20
candidate,Abraham Clayman,1
candidate,"Absalom """"Ab"""" Jordan",1
candidate,Absentee/Military,208
candidate,Acasia Berry,1
candidate,Acqunetta Anderson,1
candidate,Ada Marie Clark,12
candidate,Adam D. FEINAUER,4
candidate,Adam Davis,8
candidate,Adam Elliott SCHULTZ,1
candidate,Adam Fire Cat,50
candidate,Adam GAINES,2
candidate,Adam Garvin,2
candidate,Adam Jones,1
candidate,Adam Keith,76
candidate,Adam L. TUBBS,6
candidate,Adam Lopez Falk,11
candidate,Adam M. Ramos,18
candidate,Adam Parkinson,31
candidate,Adam Roberts,2
candidate,Adam S. SULFRIDGE,7
candidate,Adam Schwend,1
candidate,Adam Shepherd,117
candidate,Adam Shimoni,130
candidate,Adam TOWNSEND,22
candidate,Adam Vanbuskirk,46
candidate,Adam Y. Gerol,52
candidate,Addie Grigsby-Roshell,5
candidate,Addison Gray Davis,47
candidate,Adela Villers,18
candidate,Adell Dobey,17
candidate,Adrian Fontes,724
candidate,Adrian H Cline,15
candidate,Adrian J. Polite,2
candidate,Adrienne Clemente Haylor,16
candidate,Aerial Nicely,12
candidate,Affidavit,208
candidate,Against,9873
candidate,Against Bonds,10
candidate,Against Issue No 1,92
candidate,Against Issue No 2,92
candidate,Against Issue No 3,92
candidate,Against Issue No 6,92
candidate,Against The Bonds,45
candidate,Against removal,3
candidate,Against the formation of a metropolitan park district,35
candidate,Agnes C. Filkins,4
candidate,Ahmed Samaha,18
candidate,Aimee LINGLE,4
candidate,Aimee M. Gardiner,6
candidate,Aimee M. Grace,1
candidate,"Akili """"Gil"""" West",3
candidate,Akin Akinyemi,153
candidate,Al BOTTS,7
candidate,Al Bozard,17
candidate,Al Burkett,4
candidate,Al Cannon,187
candidate,Al DALY,14
candidate,Al Duffy,23
candidate,Al Emanuelli,9
candidate,Al Montoya,5
candidate,Al PAGE,10
candidate,Al Rentz,18
candidate,Al Ron Gonzalez,16
candidate,Al Shilling,124
candidate,Al Smith,30
candidate,Alabama Democratic Party,2161
candidate,Alabama Republican Party,2161
candidate,Alain Capucci,16
candidate,"Alan """"Al"""" NESTERUK",2
candidate,Alan BIRCH,1
candidate,Alan Baggett,23
candidate,Alan Beck,158
candidate,Alan Duncan,676
candidate,Alan F Hamisch,57
candidate,Alan FARMER,11
candidate,Alan H Pearson,3
candidate,Alan Hawkes,676
candidate,Alan Hays,107
candidate,Alan Holley,12
candidate,Alan J Hanley,1
candidate,Alan J Kapalka,1
candidate,Alan Klages,12
candidate,Alan L Johnson,3
candidate,Alan L Little,8
candidate,Alan Laughlin,25
candidate,Alan Lennon,34
candidate,Alan Malone,16
candidate,Alan McCarthy,32
candidate,Alan Perano,9
candidate,Alan R. Hancock,48
candidate,Alan SIMS,3
candidate,Alan Unger,50
candidate,Alan W Gaddy,25
candidate,Alan Walden,303
candidate,Alan Weaver,20
candidate,Alan Williams,153
candidate,Albert Brewer,3
candidate,Albert F. HEAD,8
candidate,Albert G. Brien,24
candidate,Albert HOPPLE,1
candidate,Albert Henning,3
candidate,"Albert Joseph Vitali, Jr.",62
candidate,Albert Rogers,40
candidate,Albert THOMAS,3
candidate,Albert Talbert,10
candidate,Alberta B. Greene,38
candidate,"Alberto J. LaGreca, Jr.",12
candidate,"Alderman ""Adam"" Kampbell",5
candidate,Alderman Alan Long,65
candidate,Alderman Andrea Bearden,5
candidate,Alderman Andy Hawkins,20
candidate,Alderman Andy Mullins,5
candidate,Alderman Dale Watkins,4
candidate,Alderman Dan Church,5
candidate,"Alderman James ""Jim"" Wozniak",74
candidate,Alderman James Kandlbinder,5
candidate,Alderman Jay Finch,27
candidate,Alderman Jerry Ponder,25
candidate,Alderman John A. Skaggs,101
candidate,Alderman Jonathan Long,10
candidate,Alderman Kimberly Schane,5
candidate,Alderman Lonny Chapman,5
candidate,Alderman Louis E. Hobbs,5
candidate,Alderman Marc A. Williams,27
candidate,Alderman Mark Kinion,755
candidate,Alderman Mary Berryhill,5
candidate,Alderman Matthew Petty,50
candidate,Alderman Melissa Ratliff,5
candidate,Alderman Misty Caudle,15
candidate,Alderman Ronnie Ramsey,5
candidate,Alderman Sarah Marsh,55
candidate,Alderman Scott Bennett,5
candidate,Alderman Stephanie Beck,5
candidate,Alderman Stephanie Orman,102
candidate,Alejandro Benally,6
candidate,Alejandro Paret,1
candidate,Aletris Farnam,13
candidate,Alex B. Daniel,3
candidate,Alex Bess,3
candidate,Alex CARSON,6
candidate,Alex HERRINGTON JR.,1
candidate,Alex Hastie,1
candidate,Alex J. Graham,1
candidate,Alex Marriott,2
candidate,Alex Martinez,344
candidate,Alex Navas,31
candidate,Alex Newhouse,179
candidate,Alex ONKST,12
candidate,Alex Oliphant,11
candidate,Alex Saitta,14
candidate,Alex Underwood,26
candidate,Alex White,12
candidate,Alexander Carl Ekstrom,348
candidate,Alexander G. SHIVELY,12
candidate,Alexander J. Cote,14
candidate,"Alexander M. """"Alex"""" Padro",2
candidate,Alexander Mogavero,2
candidate,Alexander Patterson,2
candidate,Alexandra Arboleda,724
candidate,Alexis Demetrious Pipkins Sr,22
candidate,Alexis TANNER,6
candidate,Alfred D England,1
candidate,Alfred D. Marten,1
candidate,Alfred Darby,11
candidate,Alfred Mae Drakeford,18
candidate,Alfredo I. Velasquez,120
candidate,Ali,12
candidate,Alice Meredith KEISTER,10
candidate,Alice R. Hamers,15
candidate,Alice Ryan HARRIS,13
candidate,Alice SMITH,3
candidate,Alice Tapp HUGHES,6
candidate,Alice Wellborn,60
candidate,Alicia Chisolm,92
candidate,Alicia H. Nakata,89
candidate,Alicia Hankins,3
candidate,Alicia Marie Berry,348
candidate,Alisha Byrd,164
candidate,Alison Atwater,8
candidate,All Others,518
candidate,Allan H Kusler,1
candidate,Allan J. Barnes,5
candidate,Allan K. HOPPER,10
candidate,Allan L Duffy,1
candidate,Allan RHODES,27
candidate,Allan STEELY,7
candidate,Allan W. Fung,60
candidate,Allanah A Dobson,18
candidate,"Allen """"AJ"""" JOHNSON",12
candidate,Allen A. STAPLETON,5
candidate,Allen Barker,9
candidate,Allen Broderick,4
candidate,Allen Caton,20
candidate,Allen D. Hinds,3
candidate,Allen Dobney,53
candidate,Allen E. Scott,10
candidate,Allen E. Simonson,12
candidate,Allen Fraley,213
candidate,Allen Hobson,1
candidate,Allen J. Shers,16
candidate,Allen Joines,340
candidate,Allen L Buzzard,1
candidate,Allen Leonard,20
candidate,Allen R Peterson,4
candidate,Allen R. Brey,32
candidate,Allen R. Fraley,214
candidate,Allen Shearer,1
candidate,Allen Thompson,6
candidate,Allen W Floyd,8
candidate,Allin Bailey,13
candidate,Allin Whittle,5
candidate,Allison Beasley,16
candidate,Allison Ford,10
candidate,Allison Gant,148
candidate,Allison Love,30
candidate,Allison Pratt,42
candidate,Allison Sippel Peteet,39
candidate,Allison Smith-Goodwin,2
candidate,Allow,3
candidate,Ally Miller,174
candidate,Alma H. Gates,1
candidate,Alma Y White,39
candidate,Alonzo Frazier,6
candidate,Alton FULCHER JR.,3
candidate,Alton Joe Shepherd,70
candidate,"Alton K """"Buddy"""" Williams III",16
candidate,Alvin C Thompson,1
candidate,Alvin Carnahan,25
candidate,Alvin DOCKERY,6
candidate,Alvin Judd Sr.,1
candidate,Alvin RUSSELBURG,7
candidate,Alycia C. Collins,20
candidate,Alys Casperson,17
candidate,Alyson VAN HOOSER,10
candidate,Alyssa Johnston,84
candidate,"Amanda ""Mandy"" Thibodeaux",4
candidate,Amanda BOWLING,2
candidate,Amanda BULLOCK,16
candidate,Amanda Beumel PATTERSON,4
candidate,Amanda CLARK,25
candidate,Amanda COLE,3
candidate,Amanda E. Maminski,25
candidate,Amanda Fox Perry,1
candidate,Amanda Frost,1
candidate,Amanda Fuchswanz,11
candidate,Amanda Howell WINTERS,6
candidate,Amanda Joann Bell,12
candidate,Amanda Kaufman,3
candidate,Amanda L. (Amy) Wilson,228
candidate,Amanda M. THOMPSON,1
candidate,Amanda Mays BLEDSOE,28
candidate,Amanda Moffitt Dunavant,180
candidate,Amanda SMITH,2
candidate,Amanda Schroeder,29
candidate,Amanda Stevenson,164
candidate,Amanda WALUKAS,1
candidate,Amanda Walker,4
candidate,Amber Davis Malarney,279
candidate,Amber Louise Finlay,39
candidate,Amelia BERRY,7
candidate,Amelia Gary Johnson,1
candidate,Amelia R. KISER,14
candidate,Amelie F. Schoel,45
candidate,Amon E. BEASLEY,3
candidate,Amy Austin,32
candidate,Amy B. Goggin,4
candidate,Amy B. Hall,2
candidate,Amy Baker,44
candidate,Amy Beckett HURST,6
candidate,Amy Besner,48
candidate,Amy CROWE,2
candidate,Amy Churchill,361
candidate,Amy Dopson Dugger,9
candidate,Amy ENGELMAN,14
candidate,Amy H. Mcsheffrey,17
candidate,Amy Hemingway,2
candidate,Amy Holt,145
candidate,Amy Johnson,3
candidate,Amy Jones Shook,110
candidate,Amy K Slay,1
candidate,Amy K. CRAIG,26
candidate,Amy Knudsen,1
candidate,Amy L. HITCH,6
candidate,Amy L. Ricci,8
candidate,Amy Lee Simpson,60
candidate,Amy M. Dalrymple,46
candidate,Amy Moomaw,68
candidate,Amy Riihl,12
candidate,Amy Scott Galey,148
candidate,Amy Smith Wamsley,361
candidate,Amy Timmons,4
candidate,Amy Tregaskes,20
candidate,Amy Trimble WILLIAMS,3
candidate,Amy Wilder,1
candidate,Ana Henderson,171
candidate,"Anaicka ""Nicki"" Ortiz-Reed",5
candidate,Anastasia M Wilkinson,1
candidate,Anavon Harris,5
candidate,Anderson Burgess,3
candidate,"Anderson, Travis",8
candidate,Andi Ficquette Wilson,14
candidate,Andre Davis,36
candidate,Andre L. Harrison,32
candidate,Andre Marc Boudreau,2
candidate,Andre R. Carley,1
candidate,Andre' D. Good,32
candidate,Andrea Bailey Erb,46
candidate,Andrea Blum,1
candidate,Andrea DIEBOLD,1
candidate,Andrea Dalessandro,219
candidate,Andrea F. Dray,405
candidate,Andrea Jablonski,6
candidate,Andrea L. Souza,14
candidate,Andrea Molod,2
candidate,Andrea Nodolf,35
candidate,Andrea Palo,181
candidate,Andrea Zielinski,1
candidate,Andreas Roth,57
candidate,Andreas Tziotis,2
candidate,Andres Adan Barraza,62
candidate,Andretta Schellinger,4
candidate,Andrew (Andy) Otte,1
candidate,Andrew Allen,6
candidate,Andrew BUSROE,2
candidate,Andrew Beebe,1
candidate,Andrew Biviano,344
candidate,Andrew Black,4
candidate,Andrew C Smith,187
candidate,Andrew CARPENTER,1
candidate,Andrew Christenson,16
candidate,Andrew DISKEN,3
candidate,Andrew Dellinger,110
candidate,Andrew Devon Stephenson II,1
candidate,Andrew F. Deutsch,10
candidate,Andrew Gaber,35
candidate,Andrew Gilmartin,20
candidate,Andrew Gregson,144
candidate,Andrew Hethington,41
candidate,Andrew K. Hettinger,21
candidate,Andrew Kinney,35
candidate,Andrew M. POWELL,46
candidate,Andrew M. RENDA,1
candidate,Andrew Naze,14
candidate,Andrew Nuckolls,1
candidate,Andrew P. Shea,20
candidate,Andrew PENNINGTON,12
candidate,Andrew Poston,164
candidate,Andrew SMITH,3
candidate,Andrew Siders,18
candidate,Andrew T. McCauley,55
candidate,Andrew T. Tyska,18
candidate,Andrew Thomson,107
candidate,Andrew Toynbee,88
candidate,Andrew V. Kelly,16
candidate,Andrew W. Aschmann,2
candidate,Andrew W. MILLER,1
candidate,Andrew Wasielewski,1
candidate,Andrew Webb,4
candidate,Andy Anderson,1
candidate,Andy Biggs,113
candidate,Andy Byrd,1
candidate,Andy D McKnight,8
candidate,Andy GAMBLIN,55
candidate,Andy Gastelum,14
candidate,Andy Hover,225
candidate,Andy LAWHORN,4
candidate,Andy LaGrone,16
candidate,Andy Litsky,3
candidate,Andy Long,29
candidate,Andy McINTYRE,2
candidate,Andy REECE,13
candidate,Andy Ringstaff,13
candidate,Andy STONE,12
candidate,Andy Strickland,37
candidate,Andy Tobin,3456
candidate,Andy WILLIAMS,24
candidate,Andy Wayne AKERS,2
candidate,Andy Zhang,18
candidate,Angel Falconer,6
candidate,Angel Kay Jannasch-Pennell,15
candidate,Angel L. Valentin,190
candidate,Angel Sherri Alston,1
candidate,Angel Torres,35
candidate,Angela Barge,3
candidate,Angela Bradbery,1
candidate,Angela C. BLAIR,2
candidate,Angela C. Foster,676
candidate,Angela Dewitt,15
candidate,Angela EVANS,28
candidate,Angela G. Hoyle,214
candidate,Angela Guess,39
candidate,Angela Headen Davis,126
candidate,Angela J. Carter,228
candidate,Angela L Smith,3
candidate,Angela L. Beranek,37
candidate,Angela L. THOMPSON,86
candidate,Angela M. GIBSON,1
candidate,Angela MEYERHOFFER,1
candidate,Angela Stuhr,54
candidate,Angela Thomas Marshall,5
candidate,Angela Williams,12
candidate,Angeleah Jamison,1
candidate,Angeline E. Winton,25
candidate,"Angelo A. Padula, Jr.",4
candidate,Angelo Kidd,100
candidate,Angelo Masarin,1
candidate,Angie Evans CLEVELAND,5
candidate,Angie Fox,676
candidate,Angie Jones,131
candidate,Angie Lewis,175
candidate,Angie QUIGLEY,292
candidate,Angie Tucker,1
candidate,Angie Woodward Hough,13
candidate,Anglis Trigg Jr.,3
candidate,Anita Joy Williams,20
candidate,Anita LAMBERT,2
candidate,Anita MINDRUP-IVIE,46
candidate,Anita McCall,110
candidate,Anita Norman,3
candidate,Anita R. Powers,327
candidate,Anita Renee Alston-Gore,7
candidate,Anita Sharpe,104
candidate,Ann B. Edwards,84
candidate,Ann B. Franklin,361
candidate,Ann Barrett,122
candidate,Ann COMBS,4
candidate,Ann Conder,23
candidate,Ann Congdon,89
candidate,Ann Crossland,4
candidate,Ann Crumrine,19
candidate,Ann E. McAlpine,2
candidate,Ann E. Peoples,6
candidate,Ann Elizabeth Ordway,46
candidate,Ann English,51
candidate,Ann Hall,2
candidate,Ann Huitt,18
candidate,Ann Kirkpatrick,3456
candidate,Ann Lane Mladinov,2
candidate,Ann Long,16
candidate,Ann M. Dickson,8
candidate,Ann MILLER,10
candidate,Ann Marie Mc Crystal,37
candidate,Ann P. Edge,70
candidate,Ann P. Roberts,18
candidate,Ann P. Strong,10
candidate,Ann R. Littrell,15
candidate,Ann S. Gardner,18
candidate,Ann Stevens,6
candidate,Ann ZIMLICH,9
candidate,Anna Barrett Smith,84
candidate,Anna Camacho,33
candidate,Anna Elena Worley,1084
candidate,Anna Guzman,3
candidate,Anna Harper,10
candidate,Anna Huberman,27
candidate,Anna M. Harmon-James,39
candidate,Anna M. Sousa,8
candidate,Anna Montoya-Paez,120
candidate,Anna Osborne Walthall,12
candidate,Anna S. Clancy,10
candidate,Anna Salazar-Ogle,24
candidate,Annabelle Jaramillo,24
candidate,Anne Beane,1
candidate,Anne Fowler GWINN,28
candidate,Anne Graham,4
candidate,Anne Greenberg,61
candidate,Anne HENSLEY,4
candidate,Anne HESS,1
candidate,Anne J. Melvin,118
candidate,Anne MARTIN,2
candidate,Anne Marie Green,53
candidate,Anne McFARLAND,2
candidate,Anne Platts,181
candidate,Anne Wallace,4
candidate,"Annette """"Ann"""" CATLIN",3
candidate,Annette Barna,33
candidate,Annette Frank,1
candidate,Annette M. Sexton-Ruiz,17
candidate,Annette Sostarich,3
candidate,Annette W. Turik,273
candidate,Annie E McDaniel,9
candidate,Annie F. Wilson,58
candidate,Annie FOX,4
candidate,Annie Mortensen,16
candidate,Annie R Naranjo-Rivera,1
candidate,Anonymous,46
candidate,Antawan Holmes,1
candidate,"Anthony """"Andy"""" WOODALL",15
candidate,"Anthony """"Craig"""" LASLEY",7
candidate,"Anthony """"Slug"""" DUVALL",3
candidate,"Anthony """"Tony"""" BISHOP",16
candidate,"Anthony """"Tony"""" Giordano",1
candidate,"Anthony """"Tony"""" KUKLINSKI",9
candidate,"Anthony ""Tony"" Smith",84
candidate,Anthony A J Bracy,56
candidate,Anthony A. Verardo,6
candidate,Anthony Bevel,3
candidate,Anthony Brown,2
candidate,Anthony C. Adams,28
candidate,Anthony C. Woodruff,37
candidate,Anthony Carpenter,12
candidate,Anthony Ciabattari,98
candidate,Anthony Clarkbanks,4
candidate,Anthony Copeland,32
candidate,Anthony DAVIS,32
candidate,Anthony Dennis,67
candidate,"Anthony E. Autiello, Jr.",8
candidate,Anthony F. Dimino,2
candidate,Anthony Filippo,1
candidate,Anthony G. DURHAM,2
candidate,Anthony Gipe,1
candidate,Anthony J. Ferreira,8
candidate,Anthony J. Stella Jr.,15
candidate,Anthony Kern,47
candidate,Anthony L Scott,9
candidate,Anthony L. Soly,10
candidate,Anthony Lorenzo Green,3
candidate,Anthony Lozano,36
candidate,Anthony MULLINS,38
candidate,Anthony Martin,45
candidate,Anthony Muhammad,2
candidate,Anthony Neis,7
candidate,Anthony Presley,1
candidate,Anthony SHULTS,1
candidate,Anthony Sizer,42
candidate,Anthony TRAMMELL,19
candidate,Anthony Thomas,8
candidate,"Anthony W. """"Tony"""" DePRATO",2
candidate,Anthony W. (Tony) Brown,322
candidate,Anthony s White,25
candidate,Anton (Tony) Berg,6
candidate,Antone C. Viveiros,10
candidate,Antonio A. Teixeira,18
candidate,Antonio Blow,47
candidate,Antonio Cadogan Jr.,2
candidate,Antonio Iverson,5
candidate,Antonio Johnson,2
candidate,Approve,9071
candidate,Approved,7162
candidate,April Anderson,16
candidate,April Frese BROCKOFF,25
candidate,April GAYHEART,4
candidate,April K. DEFALCO,6
candidate,April LEISGE,4
candidate,April PHILLIPS,2
candidate,April Wise,17
candidate,Aravind Muthukrishnan,2
candidate,Arbie Nesbitt,12
candidate,"Archie B. Taylor, Jr.",28
candidate,Archie L. Blackwell,8
candidate,Archie Scott,10
candidate,Archie W. Cothren,30
candidate,Aretha Blake,810
candidate,Arica Watkins-Smith,35
candidate,Arista C. BOWMAN,1
candidate,"Arlando ""PeeWee"" Wilson",6
candidate,Arlen MOLLETTE,4
candidate,Arlene Chester Burns,1
candidate,Arlene LUEBBE,3
candidate,Arlene S Puryear,9
candidate,Arlene Sweeting,101
candidate,Armando Heredia,33
candidate,Armando Ruiz,355
candidate,Arne FENSTAD,4
candidate,Arne Mortensen,72
candidate,Arne Nyberg,2
candidate,Arnie Fisher,53
candidate,Arnold Asdenti,30
candidate,Arnold Goodluck,30
candidate,Arnold Mathews,64
candidate,Aron Carleson,15
candidate,Art Babbott,90
candidate,Art Kegler,1
candidate,"Art Preller,Jr.",9
candidate,Art Swannack,69
candidate,Arthur Biggs,10
candidate,"Arthur C. Barton, III",10
candidate,Arthur J Winslow,1
candidate,Arthur Kornegay,39
candidate,Arthur LITTLE,3
candidate,"Arthur S. Russo, Jr.",4
candidate,Arthur SIMS,1
candidate,Arvid E Andersen,5
candidate,Arvilla Ohlde,35
candidate,Ashleigh PERRY,4
